FIPS,UNEMP,INCOME,POP,
17047,8.2,"54,930","19,740",
17049,6.6,"58,943","932,877",
17051,7.5,"48,913","16,866",
17053,6.4,"55,369","6,245",
17055,10.5,"43,695","34,668",
17057,8.6,"50,461","21,488",
17059,9.2,"46,515","13,534",
17061,6.5,"52,116","37,804",
17063,8.8,"83,135","33,609",
17065,6.7,"51,031","4,946",
17067,6.9,"53,724","11,985",
17069,9.2,"44,573","52,533",
17071,6.9,"55,535","7,993",
17073,7.8,"61,680","17,620",
17075,6.2,"51,542","3,649",
17077,7.7,"37,308","6,387",
17079,6.0,"59,980","49,284",
17081,10.1,"50,531","27,077",
17083,7.4,"63,351","52,974",
17085,8.3,"62,522","9,287",
17087,8.9,"55,022","37,113",
17089,9.1,"84,311","21,512",
17091,8.8,"60,763","22,035",
17093,8.4,"105,586","13,308",
17095,8.6,"43,404","516,522",
17097,8.1,"92,638","107,502",
17099,9.4,"59,528","131,869",
17101,8.7,"47,114","49,967",
17103,6.8,"57,619","714,342",
17105,6.7,"54,422","109,658",
17107,6.7,"53,806","15,280",
17109,7.1,"49,048","34,145",
17111,8.3,"89,379","35,815",
17113,6.8,"69,230","27,987",
17115,9.9,"52,259","27,238",
17117,6.9,"54,174","310,229",
17119,7.7,"66,591","170,954",
17121,9.3,"52,291","103,998",
17123,7.4,"63,628","44,967",
17125,8.0,"51,967","265,859",
17127,10.0,"54,159","37,729",
17129,6.4,"77,306","11,742",
17131,8.0,"62,241","13,086",
17133,5.6,"90,904","14,169",
17135,8.7,"51,665","12,297",
17137,6.9,"55,937","15,699",
17139,5.0,"65,472","34,962",
17141,8.1,"63,565","28,288",
17143,10.4,"57,717","32,915",
17145,9.4,"56,880","14,526",
17147,5.4,"72,265","51,788",
17149,6.0,"54,309","181,830",
17151,7.9,"46,478","20,945",
17153,11.7,"38,506","16,673",
17155,8.3,"74,367","14,739",
17157,7.1,"58,444","3,763",
17159,6.8,"49,775","5,193",
17161,9.4,"57,772","5,637",
17163,9.0,"57,726","30,163",
17165,9.7,"48,547","15,813",
17167,8.2,"61,768","144,672",
17169,6.2,"56,015","257,400",
17171,6.6,"61,231","23,768",
17173,6.4,"61,376","196,343",
17175,7.3,"54,804","6,902",
17177,7.3,"51,786","4,949",
17179,8.1,"66,206","20,990",
